route_id,vehicle_string,garage_code,pvr
77,E40H/Enviro400H MMC,SW,18
78,E40H/Enviro400H MMC,PM,16
79,B5LH/Gemini 3,BT,14
8,New Bus for London,BW,22
80,DD/Enviro400EV City,A,7
81,B9TL/Gemini 2,SG,16
83,B9TL/Gemini 2,AO,14
85,B5LH/Gemini 3,TV,13
86,Streetdeck Electroliner 10.5m,HO,24
87,New Bus for London,SW,19
88,E40H/Enviro400H,SW,22
89,E40D/Enviro400,BX,15
9,New Bus for London,AH,14
90,B5LH/EvoSeti,PV,17
91,B5LH/Enviro400H MMC,NP,15
92,B5LH/Gemini 3,G,16
93,DD/Enviro400EV City,A,26
94,DD/Enviro400EV City,S,18
95,B5LH/Gemini 3,G,14
96,B5LH/Gemini 2,DT,24
969,E20D/Enviro200,GW,
97,Streetdeck/Gemini 3,HO,20
98,Streetdeck Electroliner 10.5m,AC,22
99,Trident/Enviro400,BX,14
A10,E200Dart/Enviro200,UX,4
B11,E200Dart/Enviro200,BX,8
B12,E20D/Enviro200 MMC,BX,7
B13,D8UR/Enviro200 MMC EV,BX,4
B14,E100EV/Enviro100EV 8.5m,TB,7
B15,E200Dart/Enviro200,BX,6
B16,Kite Electroliner 10.9m,BX,10
BL1,DD/Enviro400EV City,RA,10
C1,D8UR/Enviro200MMC EV,S,13
C10,e.City Gold 10.7m,WL,23
C11,Kite Electroliner 10.3m,HT,16
C3,Streetdeck Electroliner 10.5m,QB,9
D3,D8UR/Enviro200MMC EV,DS,9
D6,E20D/Enviro200 MMC,HK,14
D7,BZL (dd)/MCV,HK,9
D8,BZL (dd)/MCV,HO,7
E1,B9TL/Gemini 2,G,7
E10,E20D/Enviro200 MMC,GW,8
E11,E20D/Enviro200 MMC,GW,5
E2,B9TL/Gemini 2,AH,15
E3,E40H/Enviro400H,V,20
E5,E20D/Enviro200 MMC,GW,12
E6,Kite Electroliner 10.9m,DH,11
E7,Kite Electroliner 10.9m,GW,11
E8,B9TL/Gemini 2,AH,15
E9,Trident/Enviro400,G,8
EL1,New Bus for London,RR,18
EL2,New Bus for London,RR,12
EL3,New Bus for London,RR,14
G1,E100EV/Enviro100EV 8.5m,QB,12
H10,D8UR/Enviro200MMC EV,SO,9
H11,E20D/Enviro200 MMC,BT,7
H12,E40H/Enviro400H MMC,BT,14
H13,E200Dart/Enviro200,UX,6
H14,E40H/Enviro400H MMC,BT,7
H17,E20D/Enviro200 MMC,WJ,7
H18,E20D/Enviro200 MMC,SO,4
H19,E20D/Enviro200 MMC,SO,4
H2,Solo SR 7.9m,W,3
H20,MetroCity EV 8.7m,TF,6
H22,E20D/Enviro200 MMC,AV,12
H25,E20D/Enviro200,TF,10
H26,E20D/Enviro200 MMC,TF,5
H28,E20D/Enviro200,GW,11
H3,Solo SR 7.9m,W,1
H32,New Bus for London,SG,11
H37,E20D/Enviro200 MMC,AV,13
H9,D8UR/Enviro200MMC EV,SO,9
H91,New Bus for London,AH,14
H98,New Bus for London,AV,15
K1,E20D/Enviro200,TV,14
K2,E20D/Enviro200 MMC,TV,10
K3,E20D/Enviro200 MMC,FW,11
K4,E20D/Enviro200 MMC,TV,4
K5,E20D/Enviro200,TV,6
N1,E40H/Enviro400H MMC,Q,6
N109,E40H/Enviro400H MMC,BC,9
N11,E40H/Enviro400H MMC,SW,6
N113,Streetdeck Electroliner 10.5m,EW,5
N118,B5LH/Gemini 3,X,14
N133,E40H/Enviro400H City,QB,8
N136,B5LH/Eclipse Gemini,NX,8
N137,New Bus for London,BN,8
N140,B5LH/Gemini 3,HD,5
N15,New Bus for London,RR,14
N155,B5LH/Gemini 3,SW,8
N171,E40H/Enviro400H MMC,NX,5
N18,B5LH/Gemini 3,X,14
N19,New Bus for London,SF,6
N199,E40D/Enviro400,TL,8
N2,B5LH/Gemini 3,N,8
N20,New Bus for London,HT,6
N205,E40H/Enviro400H,BW,9
N207,E40H/Enviro400H MMC,GW,23
N21,E40H/Enviro400H MMC,NX,9
N22,B5LH/EvoSeti,AF,6
N242,Streetdeck Electroliner 10.5m,HK,5
N25,E40H/Enviro400H MMC,BW,17
N250,Trident/Enviro400,TH,5
N253,New Bus for London,CT,8
N26,E40H/Enviro400H City,HK,8
N263,B5LH/Gemini 3,PB,3
N266,Streetdeck Electroliner 10.5m,W,4
N27,New Bus for London,QB,4
N277,Streetdeck Electroliner 10.5m,HK,5
N279,Streetdeck Electroliner 10.5m,E,12
N28,B5LH/EvoSeti,WJ,5
N29,B5LH/Eclipse Gemini,WN,18
N3,New Bus for London,WL,12
N31,E40H/Enviro400H,X,5
N32,New Bus for London,W,4
N33,E200Dart/Enviro200,FW,4
N343,E40H/Enviro400H MMC,NX,5
N38,New Bus for London,CT,16
N381,DD/Enviro400EV City,WL,4
N41,B5LH/Gemini 3,AR,5
N44,E40H/Enviro400H MMC,SW,6
N472,B9TL/Gemini 2,MG,4
N5,B5LH/Gemini 3,BT,6
N53,E40H/Enviro400H MMC,PD,11
N55,New Bus for London,T,7
N550,E40H/Enviro400H City,HK,6
N551,E40D/Enviro400 MMC,BK,7
N63,E40H/Enviro400H,WL,9
N65,B5LH/Gemini 3,FW,5
N68,E40H/Enviro400H MMC,WL,7
N7,Streetdeck FCEV,PV,6
N72,E200Dart/Enviro200,S,4
N73,New Bus for London,CT,10
N74,B5LH/Gemini 3,AF,5
N8,New Bus for London,BW,18
N83,B9TL/Gemini 2,PV,4
N86,Streetdeck Electroliner 10.5m,NS,8
N87,New Bus for London,SW,13
N89,E40H/Enviro400H MMC,NX,8
N9,New Bus for London,AH,11
N91,B5LH/Enviro400H MMC,NP,7
N97,B5LH/Gemini 3,AF,4
N98,B5LH/Gemini 3,HD,9
P12,E20D/Enviro200,PM,11
P13,E200Dart/Enviro200,WL,12
P4,Streetlite DF 10.8m,NX,13
P5,e.City Gold 10.7m,WL,10
R1,E20D/Enviro200,MB,6
R10,E20D/Enviro200,MB,
R11,E20D/Enviro200,MB,10
R2,E20D/Enviro200,MB,4
R3,E100EV/Enviro100EV 8.5m,MB,6
R4,E20D/Enviro200,MB,6
R5,E20D/Enviro200,MB,1
R68,E20D/Enviro200 MMC,TF,10
R7,Streetlite WF 8.8m,MB,4
R70,Kite Electroliner 10.9m,TF,11
R8,E100EV/Enviro100EV 8.5m,MB,2
R9,E200Dart/Enviro200,MB,3
S1,E200Dart/Enviro200,BC,13
S2,D8UR/Enviro200 MMC EV,A,8
S3,E20D/Enviro200 MMC,BC,8
S4,E20D/Enviro200,C,7
SCS,D8UR/Enviro200MMC EV,WH,3
SL1,E40H/Enviro400H City,AD,12
SL10,DD/Enviro400EV City,SO,13
SL11,New Bus for London,MG,20
SL2,E40H/Enviro400H City,DX,15
SL3,E400EV 10.5m,TB,15
SL4,BYD B11E02 10.9m,DS,17
SL5,BYD B11E02 10.9m,TC,10
SL6,Enviro400EV 10.5m,N,10
SL7,B9TL/Gemini 2,C,21
SL8,B5LH/EvoSeti,G,26
SL9,DD/Enviro400EV City,SO,13
U1,E200Dart/Enviro200,UX,8
U10,E20D/Enviro200,UX,1
U2,E200Dart/Enviro200,UX,9
U3,Trident/Enviro400,UX,11
U4,Trident/Enviro400,UX,12
U5,DD/Enviro400EV City,DH,11
