route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
329,Trident/Enviro400,ADL Enviro400 | Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400H City,22,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,22
33,Kite Electroliner 10.9m,BYD D8UR ADL Enviro200EV | Wright GB Kite Electroliner | ADL Enviro200 MMC,34,WRIGHTBUS,Kite Electroliner 10.9m,electric,single,34
330,Trident/Enviro400,ADL Enviro400H MMC | ADL Enviro400,13,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,18
331,E20D/Enviro200,ADL Enviro200 | ADL Enviro200 MMC,16,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,16
333,B5LH/EvoSeti,ADL Enviro400H MMC,1,VOLVO,B5LH/EvoSeti,hybrid,double,20
335,B5LH/Gemini 2,Volvo B5LH Wright Eclipse Gemini 3 | Volvo B5LH Wright Eclipse Gemini 2,19,VOLVO,B5LH/Gemini 2,hybrid,double,19
336,E20D/Enviro200 MMC,ADL Enviro200 MMC | ADL Enviro200,14,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,14
337,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,36,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,36
339,Metrocity EV 9.6m,Switch MetroCity EV | ADL Enviro200,12,SWITCH,Metrocity EV 9.6m,electric,single,12
34,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3 | BYD BD11,42,BYD,B5LH/Gemini 3,hybrid,double,42
340,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3 | BYD D8UR-DD ADL Enviro400EV | Volvo B5LH Wright SRM | ADL Enviro400H | ADL Enviro400H MMC,24,VOLVO,B5LH/Gemini 3,hybrid,double,24
341,Streetdeck Electroliner 10.5m,Volvo BZL DD | Wright StreetDeck Electroliner,54,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,54
343,E40H/Enviro400H MMC,ADL Enviro400H MMC,46,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,46
344,E40H/Enviro400H MMC,Wright StreetDeck Electroliner | ADL Enviro400H | ADL Enviro400 MMC | ADL Enviro400H MMC,59,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,59
345,E40H/Enviro400H,ADL Enviro400H | ADL Enviro400H MMC,65,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,65
346,E20D/Enviro200,ADL Enviro200 | ADL Enviro200 MMC,8,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,8
349,New Bus for London,Wright StreetDeck Electroliner,2,WRIGHTBUS,New Bus for London,hybrid,double,2
35,E40H/Enviro400H MMC,BYD D8UR-DD ADL Enviro400EV | ADL Enviro400H MMC,39,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,47
350,E20D/Enviro200 MMC,ADL Enviro200 MMC | ADL Enviro200,11,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,11
352,Streetlite WF 8.8m,Wright StreetLite WF | ADL Enviro200,13,ALEXANDER DENNIS,Streetlite WF 8.8m,diesel,single,13
353,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV | ADL Enviro400H MMC,11,BYD,DD/Enviro400EV City,electric,double,11
354,E20D/Enviro200,ADL Enviro200,13,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,13
355,Kite Electroliner 10.9m,Wright StreetLite DF | ADL Enviro400H MMC,4,WRIGHTBUS,Kite Electroliner 10.9m,electric,single,24
356,E20D/Enviro200 MMC,ADL Enviro200 MMC,14,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,14
357,DD/Enviro400EV,BYD D8UR-DD ADL Enviro400EV,17,BYD,DD/Enviro400EV,electric,double,24
358,ie-Tram 12m,ADL Enviro200,2,IRIZAR,ie-Tram 12m,electric,single,22
359,D8UR/Enviro200MMC EV,,0,BYD,D8UR/Enviro200MMC EV,electric,single,3
36,E40D/Enviro400,ADL Enviro400H MMC | ADL Enviro400 | ADL Enviro400H,62,ALEXANDER DENNIS,E40D/Enviro400,diesel,double,62
360,Kite Electroliner 10.9m,,0,WRIGHTBUS,Kite Electroliner 10.9m,electric,single,26
362,E20D/Enviro200 MMC,ADL Enviro200 | ADL Enviro200 MMC,11,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,11
363,E40H/Enviro400H MMC,Wright StreetDeck Electroliner | ADL Enviro400 MMC | ADL Enviro400H | ADL Enviro400H MMC,35,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,35
364,E20D/Enviro200 MMC,ADL Enviro200 | ADL Enviro200 MMC,16,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,18
365,Trident/Enviro400,Wright StreetDeck Electroliner | ADL Enviro400 | ADL Enviro400 MMC,36,ALEXANDER DENNIS,Trident/Enviro400,diesel,double,37
366,D8UR/Enviro200MMC EV,,0,BYD,D8UR/Enviro200MMC EV,electric,single,23
367,E20D/Enviro200 MMC,ADL Enviro200 MMC | ADL Enviro200,24,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,24
368,B5LH/Gemini 2,,0,BYD,B5LH/Gemini 2,hybrid,double,19
37,E40H/Enviro400H MMC,ADL Enviro400H MMC,28,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,40
